Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance,Midterm_Score,Final_Score,Assignments,Quizzes_Avg,Participation,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular,Internet_Access,Parent_Education,Family_Income,Stress_Level
S1026,John,Patel,student26@univ.edu,Male,18,CS,85.68,44.63,48.89,94.93,76.39,30.64,55.07,58.41,C,21.6,No,Yes,Master's,Medium,5
S1027,Ananya,Jones,student27@univ.edu,Male,24,Engineering,60.2,48.84,70.18,84.59,79.12,45.7,85.61,70.22,B,10.9,No,Yes,Bachelor's,Medium,6
S1028,Ananya,Brown,student28@univ.edu,Female,25,CS,73.02,81.06,75.73,92.46,79.46,69.78,54.68,76.79,B,14.2,No,Yes,None,Medium,4
S1029,Ava,Jones,student29@univ.edu,Male,21,Business,70.61,53.42,93.52,69.65,93.52,74.18,89.74,79.35,B,17.6,No,Yes,High School,Medium,3
S1030,Maria,Williams,student30@univ.edu,Female,19,Physics,83.08,67.09,50.74,86.12,56.85,31.7,82.27,65.47,C,9.4,Yes,No,None,Medium,1
S1031,Sophia,Brown,student31@univ.edu,Male,22,Physics,97.62,92.47,90.32,68.51,40.93,94.98,71.41,79.81,B,29.2,Yes,Yes,High School,Low,5
S1032,Mia,Davis,student32@univ.edu,Female,24,Mathematics,98.54,86.92,56.19,69.25,91.07,52.18,58.47,69.66,C,18.9,No,No,High School,Low,10
S1033,Omar,Williams,student33@univ.edu,Male,19,Engineering,97.45,78.28,71.35,54.86,76.9,99.3,57.0,69.01,C,18.0,Yes,Yes,High School,High,8
S1034,Ahmed,Sharma,student34@univ.edu,Male,18,Physics,95.09,80.74,78.34,85.12,61.57,50.55,90.47,80.1,B,25.3,Yes,Yes,Master's,Low,1
S1035,Lucas,Davis,student35@univ.edu,Male,24,Engineering,94.68,90.23,68.12,75.08,87.9,75.5,85.1,79.22,B,24.9,No,Yes,Bachelor's,Low,1
S1036,Ava,Sharma,student36@univ.edu,Female,25,Physics,95.6,58.59,60.66,54.7,74.7,32.52,73.28,62.55,C,18.6,No,Yes,Bachelor's,Medium,10
S1037,Liam,Sharma,student37@univ.edu,Male,24,Business,71.46,72.5,41.68,51.87,89.36,55.21,56.35,57.88,C,18.1,Yes,Yes,High School,High,3
S1038,Noah,Sharma,student38@univ.edu,Female,18,Physics,90.8,51.87,74.26,54.27,43.1,67.19,77.03,62.96,C,20.9,Yes,No,PhD,Medium,10
S1039,Ahmed,Johnson,student39@univ.edu,Female,19,Mathematics,89.04,93.67,68.4,66.15,87.71,48.96,71.95,76.84,B,7.0,Yes,Yes,Bachelor's,Medium,10
S1040,Mia,Smith,student40@univ.edu,Female,24,Business,61.01,92.95,85.98,84.8,64.54,42.13,57.82,81.18,B,11.3,Yes,Yes,Bachelor's,Medium,10
S1041,Rahul,Smith,student41@univ.edu,Female,24,Business,81.97,79.3,76.31,64.0,97.29,81.65,77.72,77.52,B,20.3,No,No,High School,Medium,8
S1042,Maria,Jones,student42@univ.edu,Female,22,Engineering,76.78,53.63,59.58,87.89,40.86,38.13,52.3,59.38,C,6.0,No,No,Master's,Medium,10
S1043,Sophia,Johnson,student43@univ.edu,Male,21,Business,94.22,78.7,66.08,54.89,69.5,63.14,58.66,66.79,C,15.8,No,Yes,PhD,Medium,7
S1044,Mia,Smith,student44@univ.edu,Male,24,CS,75.94,73.87,74.93,52.27,62.48,73.81,75.16,70.06,B,26.4,Yes,No,High School,Low,6
S1045,Maria,Johnson,student45@univ.edu,Male,18,Mathematics,86.35,48.96,43.88,82.12,41.59,71.0,97.01,58.63,C,19.4,Yes,No,Master's,Medium,9
S1046,Rahul,Sharma,student46@univ.edu,Male,25,Engineering,75.53,75.38,65.2,77.28,96.49,57.03,98.06,77.61,B,27.6,No,No,Bachelor's,High,1
S1047,Ananya,Williams,student47@univ.edu,Female,23,Mathematics,67.83,43.81,45.54,50.91,45.67,77.81,53.56,47.13,F,13.0,Yes,Yes,High School,High,2
S1048,John,Johnson,student48@univ.edu,Female,22,Engineering,93.8,41.28,84.8,64.09,47.09,78.77,81.45,66.54,C,26.9,Yes,No,PhD,Low,1
S1049,Ananya,Williams,student49@univ.edu,Female,19,Mathematics,89.4,84.19,55.51,58.87,85.04,86.48,99.53,72.74,B,15.3,No,No,Bachelor's,Low,4
S1050,Lucas,Patel,student50@univ.edu,Female,24,CS,74.88,82.7,58.74,96.54,91.5,60.03,87.54,78.0,B,23.9,No,Yes,Master's,High,8
S1051,Maria,Davis,student51@univ.edu,Female,22,Engineering,64.12,89.64,67.79,91.32,59.2,92.69,69.46,76.17,B,5.3,No,No,Master's,High,5
S1052,Ava,Jones,student52@univ.edu,Male,24,CS,96.22,45.02,57.56,97.5,97.04,70.14,81.59,67.97,C,16.2,No,Yes,PhD,High,1
S1053,Noah,Jones,student53@univ.edu,Female,22,CS,71.73,58.08,76.99,87.62,87.49,85.27,54.56,71.54,B,17.4,No,Yes,Bachelor's,High,6
S1054,Noah,Davis,student54@univ.edu,Male,18,Mathematics,62.3,70.22,64.28,94.39,61.05,38.19,57.15,68.89,C,24.0,No,No,None,High,8
S1055,Mia,Brown,student55@univ.edu,Male,21,Mathematics,84.73,45.56,44.63,85.05,44.37,87.53,85.31,57.0,C,7.0,No,Yes,None,Medium,6
S1056,Lucas,Williams,student56@univ.edu,Female,25,Business,63.39,94.27,60.58,68.53,88.77,96.31,99.3,78.82,B,23.8,No,Yes,Bachelor's,High,10
S1057,Maria,Smith,student57@univ.edu,Male,19,Engineering,75.05,44.59,82.74,77.92,65.45,93.44,55.56,66.67,C,17.3,No,No,High School,Medium,8
S1058,Lucas,Davis,student58@univ.edu,Male,23,Engineering,60.45,65.78,43.1,55.94,47.05,75.44,87.3,57.72,C,19.6,Yes,No,Bachelor's,Low,7
S1059,Liam,Williams,student59@univ.edu,Male,18,Business,98.49,60.62,55.71,93.43,53.42,97.43,50.61,61.6,C,29.2,No,No,PhD,High,3
S1060,Ava,Patel,student60@univ.edu,Female,20,Mathematics,61.73,89.01,69.02,99.65,44.43,68.77,98.47,80.57,B,18.1,No,Yes,High School,Low,10
S1061,Noah,Johnson,student61@univ.edu,Female,25,CS,85.18,78.27,65.0,81.38,75.06,93.08,52.27,69.87,C,12.0,Yes,Yes,Bachelor's,Medium,3
S1062,Noah,Patel,student62@univ.edu,Male,21,Engineering,98.02,88.96,65.06,81.01,56.64,43.17,73.18,73.8,B,13.8,No,No,Master's,High,5
S1063,Arjun,Sharma,student63@univ.edu,Male,20,Business,83.35,44.28,93.59,99.31,81.89,67.53,65.48,76.73,B,25.3,No,No,High School,Low,2
S1064,Mia,Williams,student64@univ.edu,Male,23,Mathematics,87.39,48.94,90.1,91.13,96.99,80.8,80.67,79.24,B,15.5,Yes,Yes,High School,High,4
S1065,Arjun,Davis,student65@univ.edu,Male,23,CS,97.31,87.63,42.49,51.32,62.59,86.74,99.36,65.64,C,8.8,Yes,Yes,Bachelor's,Medium,9
S1066,Lucas,Singh,student66@univ.edu,Female,22,Engineering,83.77,60.95,93.35,92.11,90.3,62.81,70.74,81.37,B,11.8,Yes,No,Bachelor's,Low,4
S1067,Ahmed,Singh,student67@univ.edu,Male,18,CS,62.26,87.56,84.71,99.99,99.8,68.88,88.45,89.78,A,28.6,No,No,Bachelor's,Medium,4
S1068,Liam,Smith,student68@univ.edu,Male,24,Mathematics,93.99,53.6,64.78,56.46,97.24,72.43,61.43,63.48,C,21.8,No,No,PhD,Low,8
S1069,Sara,Davis,student69@univ.edu,Male,21,Mathematics,84.73,59.7,46.25,83.58,71.22,84.06,76.01,62.17,C,26.3,Yes,Yes,None,High,8
S1070,Ava,Jones,student70@univ.edu,Male,25,CS,82.08,70.85,88.22,70.17,48.04,32.01,87.76,77.08,B,20.5,Yes,No,PhD,Low,6
S1071,Liam,Smith,student71@univ.edu,Female,20,Engineering,88.16,51.71,47.5,50.73,61.04,71.29,69.61,53.71,F,15.9,No,Yes,Master's,Medium,3
S1072,Ava,Jones,student72@univ.edu,Male,23,Physics,96.17,59.15,68.27,89.18,63.79,73.55,93.12,72.41,B,28.7,Yes,Yes,Bachelor's,High,3
S1073,Sara,Brown,student73@univ.edu,Male,19,Mathematics,65.88,90.96,67.07,62.91,67.55,98.6,74.63,73.6,B,13.2,No,No,None,Medium,6
S1074,Sara,Davis,student74@univ.edu,Male,19,Physics,85.34,53.21,44.17,56.44,47.68,40.63,56.94,50.54,F,21.0,No,No,None,Low,10
S1075,Rahul,Davis,student75@univ.edu,Female,20,Business,67.28,59.01,89.32,73.7,80.05,42.06,59.61,74.02,B,6.0,Yes,Yes,Master's,High,10
S1076,Lucas,Davis,student76@univ.edu,Male,21,Business,66.76,55.32,49.74,54.44,47.24,62.25,60.32,53.18,F,14.1,No,Yes,None,High,7
S1077,Sophia,Davis,student77@univ.edu,Female,23,Business,80.14,77.97,42.16,89.97,77.67,35.72,93.68,69.56,C,28.0,Yes,Yes,Bachelor's,High,2
S1078,Maria,Smith,student78@univ.edu,Female,23,Mathematics,62.44,55.23,84.34,87.41,51.07,44.65,68.52,71.82,B,17.1,Yes,No,High School,Low,1
S1079,Ananya,Brown,student79@univ.edu,Female,20,Mathematics,84.73,60.29,65.44,87.37,42.2,47.67,85.67,68.15,C,27.4,Yes,No,None,High,4
S1080,Noah,Jones,student80@univ.edu,Male,22,CS,80.47,69.27,45.89,72.37,71.96,46.97,63.46,60.95,C,14.4,No,Yes,PhD,Medium,4
S1081,Mia,Smith,student81@univ.edu,Male,25,Business,60.8,57.71,51.63,66.37,47.19,92.34,79.68,59.12,C,22.0,No,Yes,High School,High,6
S1082,Rahul,Jones,student82@univ.edu,Female,19,Physics,91.57,67.41,44.78,76.86,75.21,82.18,71.58,62.31,C,8.2,Yes,Yes,PhD,High,10
S1083,Sophia,Davis,student83@univ.edu,Female,20,Business,71.35,59.97,75.53,78.54,61.37,99.06,80.29,71.39,B,10.9,No,No,Master's,Low,8
S1084,Arjun,Jones,student84@univ.edu,Male,21,Business,64.07,48.41,53.53,58.03,51.19,49.96,58.67,53.46,F,27.4,Yes,No,Master's,Low,3
S1085,Sara,Singh,student85@univ.edu,Female,19,Engineering,63.21,68.85,62.57,99.12,46.72,57.85,98.47,73.42,B,26.6,No,No,High School,Medium,2
S1086,John,Brown,student86@univ.edu,Female,18,Engineering,92.68,54.18,49.4,83.43,95.76,68.97,78.58,64.71,C,12.0,No,No,Bachelor's,High,6
S1087,Maria,Williams,student87@univ.edu,Male,23,Business,90.78,50.29,57.8,71.27,70.46,46.97,55.74,58.9,C,20.3,No,No,High School,High,5
S1088,Rahul,Williams,student88@univ.edu,Female,19,CS,71.55,71.97,48.49,74.06,71.96,33.63,66.83,63.29,C,8.4,No,Yes,High School,Medium,4
S1089,John,Johnson,student89@univ.edu,Male,23,CS,62.53,94.45,57.73,90.49,55.28,77.71,88.01,76.12,B,19.9,Yes,Yes,High School,Medium,4
S1090,Ava,Singh,student90@univ.edu,Male,21,Physics,78.86,62.65,59.19,96.48,89.84,97.55,56.21,68.27,C,23.3,Yes,Yes,None,Low,1
S1091,Sophia,Smith,student91@univ.edu,Female,25,Mathematics,97.53,49.97,43.66,87.06,74.47,88.93,56.99,56.83,C,24.9,Yes,No,None,Medium,10
S1092,Sophia,Patel,student92@univ.edu,Female,22,Engineering,68.07,49.0,49.03,90.73,79.91,66.61,67.94,61.2,C,26.9,No,No,Master's,Low,7
S1093,Omar,Brown,student93@univ.edu,Male,24,Engineering,75.7,84.91,64.15,68.85,67.76,51.1,87.38,73.89,B,17.6,No,Yes,PhD,Low,8
S1094,Arjun,Johnson,student94@univ.edu,Male,24,Engineering,69.29,89.48,61.11,77.18,94.39,73.7,55.84,73.15,B,28.5,Yes,No,Master's,Low,3
S1095,Liam,Davis,student95@univ.edu,Male,23,CS,85.11,58.42,47.66,89.7,77.2,67.34,94.69,66.66,C,24.7,Yes,Yes,PhD,High,8
S1096,Ahmed,Brown,student96@univ.edu,Female,19,Physics,66.07,57.14,53.67,87.2,42.01,69.89,88.12,63.57,C,26.9,No,No,Master's,High,1
S1097,Noah,Sharma,student97@univ.edu,Male,22,Physics,73.68,85.17,46.08,92.32,47.65,57.81,89.86,69.51,C,8.7,Yes,No,High School,Low,6
S1098,Mia,Johnson,student98@univ.edu,Female,18,CS,69.17,79.72,79.6,82.06,81.64,67.99,62.59,77.65,B,13.6,No,Yes,High School,Medium,3
S1099,Sophia,Jones,student99@univ.edu,Male,21,Business,67.26,89.96,72.09,70.04,67.72,96.31,57.67,73.65,B,19.7,Yes,Yes,Master's,High,7
S1100,Ahmed,Brown,student100@univ.edu,Female,24,Engineering,80.24,73.63,41.0,93.61,95.93,69.56,84.83,69.12,C,28.1,Yes,No,Bachelor's,Medium,5
S1101,Emma,Williams,student101@univ.edu,Male,23,Engineering,88.29,48.39,71.7,80.34,65.45,81.55,96.72,70.3,B,28.1,No,No,Master's,Low,10
S1102,Emma,Sharma,student102@univ.edu,Female,19,Physics,78.03,46.23,94.17,91.94,47.48,94.46,93.49,77.08,B,18.0,No,Yes,None,High,8
S1103,Mia,Johnson,student103@univ.edu,Female,19,CS,83.65,61.95,43.01,66.76,88.17,30.32,66.67,59.37,C,15.0,No,No,PhD,High,10
S1104,Maria,Singh,student104@univ.edu,Male,20,Physics,81.5,90.59,59.05,67.35,84.25,61.66,61.23,71.03,B,16.3,Yes,Yes,High School,High,3
S1105,Lucas,Brown,student105@univ.edu,Male,25,CS,65.63,49.7,67.41,70.95,94.89,55.37,79.03,68.0,C,20.8,No,No,High School,Medium,4
S1106,Mia,Davis,student106@univ.edu,Female,23,Physics,60.52,76.49,49.79,98.05,48.92,59.02,54.27,64.29,C,29.9,No,Yes,Master's,Medium,10
S1107,John,Singh,student107@univ.edu,Female,19,Engineering,80.09,72.75,43.69,87.5,52.59,92.86,60.26,60.9,C,9.8,No,No,Master's,High,4
S1108,John,Davis,student108@univ.edu,Female,23,Business,61.46,65.96,71.07,53.29,86.53,61.73,76.22,69.44,C,16.0,No,No,PhD,High,10
S1109,Ananya,Smith,student109@univ.edu,Male,24,Physics,76.03,70.78,48.54,59.1,91.71,96.23,68.67,63.02,C,11.8,Yes,Yes,PhD,High,10
S1110,Ahmed,Davis,student110@univ.edu,Male,23,Business,85.76,62.48,41.4,57.81,82.96,76.12,51.35,54.78,F,10.5,Yes,Yes,PhD,Low,2
S1111,Arjun,Davis,student111@univ.edu,Female,25,Business,69.24,76.95,41.08,55.21,87.99,42.5,82.64,63.09,C,11.0,No,Yes,PhD,High,1
S1112,Ananya,Johnson,student112@univ.edu,Female,20,Business,63.98,53.37,79.72,92.78,89.81,57.8,83.4,76.65,B,10.1,No,No,PhD,High,10
S1113,Lucas,Jones,student113@univ.edu,Female,18,Engineering,71.73,89.3,40.72,54.28,52.47,31.86,59.07,58.83,C,19.6,Yes,No,None,High,8
S1114,Liam,Brown,student114@univ.edu,Female,21,Mathematics,76.86,89.1,84.96,67.09,55.57,56.58,79.51,79.56,B,11.7,No,Yes,PhD,Low,1
S1115,Ahmed,Jones,student115@univ.edu,Female,25,Business,84.97,62.52,70.36,71.81,57.67,96.39,88.18,70.02,B,8.5,No,Yes,Master's,Medium,9
S1116,Arjun,Brown,student116@univ.edu,Female,24,Engineering,94.74,66.81,89.2,89.99,65.51,31.57,63.43,77.49,B,18.5,Yes,No,High School,Medium,6
S1117,Liam,Patel,student117@univ.edu,Female,20,Engineering,85.34,54.18,47.66,91.75,99.06,66.8,58.58,62.68,C,11.8,No,Yes,None,Low,8
S1118,Emma,Davis,student118@univ.edu,Male,22,Physics,60.74,90.29,46.48,78.83,56.44,68.79,82.57,68.69,C,25.7,Yes,No,High School,Low,1
S1119,Noah,Jones,student119@univ.edu,Male,21,CS,68.26,40.6,47.53,95.0,92.43,71.82,80.03,62.28,C,21.6,No,Yes,Bachelor's,Low,2
S1120,Arjun,Jones,student120@univ.edu,Male,21,Mathematics,67.01,90.29,63.03,69.16,71.14,33.29,58.31,70.87,B,23.5,No,Yes,High School,Low,5
S1121,Arjun,Sharma,student121@univ.edu,Male,24,Business,63.31,73.17,53.49,69.46,57.32,54.9,85.95,66.06,C,12.4,Yes,Yes,Bachelor's,Low,4
S1122,Ananya,Davis,student122@univ.edu,Female,25,CS,82.66,66.18,76.5,96.84,83.95,45.05,51.56,73.97,B,11.6,Yes,Yes,Master's,Low,9
S1123,Liam,Williams,student123@univ.edu,Male,19,Physics,83.8,42.83,67.3,79.84,60.05,83.96,55.33,60.54,C,6.9,No,Yes,None,Low,6
S1124,Emma,Davis,student124@univ.edu,Female,20,Physics,89.13,67.25,77.86,71.74,54.78,87.34,89.97,73.8,B,22.4,No,No,Master's,High,5
S1125,Emma,Smith,student125@univ.edu,Female,21,Mathematics,70.89,72.46,59.85,54.58,95.04,39.58,97.51,71.38,B,16.2,Yes,Yes,High School,Medium,3
S1126,Maria,Jones,student126@univ.edu,Male,19,Business,67.41,69.8,88.01,86.61,88.39,76.11,84.61,82.78,B,26.2,Yes,No,None,Medium,4
S1127,Ava,Davis,student127@univ.edu,Female,23,CS,69.99,66.92,52.17,99.38,96.64,32.76,85.28,72.35,B,28.1,No,No,None,Medium,7
S1128,Sophia,Jones,student128@univ.edu,Female,22,Engineering,67.22,71.24,90.35,51.7,81.85,50.81,96.22,79.81,B,29.3,No,No,None,Medium,2
S1129,Mia,Williams,student129@univ.edu,Female,25,CS,97.77,66.08,87.41,92.23,59.15,88.02,51.85,74.64,B,19.9,No,No,PhD,High,1
S1130,Maria,Patel,student130@univ.edu,Female,18,Mathematics,69.2,46.63,44.23,84.81,60.39,80.73,53.27,53.89,F,12.9,No,Yes,Master's,High,3
S1131,Mia,Williams,student131@univ.edu,Female,25,Mathematics,81.58,83.49,57.53,81.29,93.16,73.11,61.65,71.77,B,5.6,No,No,None,Low,1
S1132,Maria,Williams,student132@univ.edu,Male,19,Engineering,94.8,41.17,88.11,76.45,96.34,85.91,99.9,77.22,B,13.8,Yes,No,None,Low,2
S1133,Sophia,Patel,student133@univ.edu,Male,22,Business,90.69,62.11,66.39,81.38,92.42,98.89,88.41,73.47,B,15.4,Yes,No,None,High,6
S1134,Liam,Jones,student134@univ.edu,Male,23,Mathematics,76.85,80.57,53.13,55.52,61.28,50.11,64.82,62.92,C,10.8,No,Yes,PhD,High,2
S1135,Noah,Williams,student135@univ.edu,Male,24,Physics,61.68,40.98,94.32,71.39,63.06,77.58,60.91,69.41,C,28.7,Yes,Yes,None,Low,8
S1136,Lucas,Davis,student136@univ.edu,Male,20,CS,91.45,44.92,62.97,93.96,96.68,62.72,80.67,69.13,C,9.2,No,No,PhD,Medium,7
S1137,Omar,Patel,student137@univ.edu,Female,20,CS,99.65,52.74,91.85,82.48,76.46,65.89,61.53,74.58,B,9.4,Yes,No,High School,High,2
S1138,Mia,Davis,student138@univ.edu,Female,25,Mathematics,68.82,50.25,82.88,67.51,43.47,97.84,94.19,70.17,B,28.2,No,Yes,Master's,High,3
S1139,Omar,Jones,student139@univ.edu,Female,20,Engineering,99.8,49.56,61.79,87.91,81.76,40.77,90.79,69.0,C,10.6,No,No,Bachelor's,Low,2
S1140,Arjun,Singh,student140@univ.edu,Male,22,Engineering,68.95,69.53,72.61,79.0,45.49,91.42,63.28,68.69,C,8.2,No,Yes,Bachelor's,Medium,3
S1141,Ahmed,Johnson,student141@univ.edu,Female,18,Engineering,95.55,92.56,87.42,90.48,79.31,68.56,54.35,83.39,B,15.2,Yes,Yes,Master's,Low,3
S1142,Mia,Williams,student142@univ.edu,Male,25,Physics,74.91,54.29,79.79,74.79,44.86,45.41,84.16,69.83,C,6.9,Yes,Yes,Bachelor's,High,10
S1143,Maria,Patel,student143@univ.edu,Male,21,Mathematics,94.05,67.23,66.43,79.62,89.48,54.35,83.9,73.53,B,19.1,No,Yes,High School,Medium,5
S1144,Noah,Jones,student144@univ.edu,Male,23,Mathematics,70.68,88.32,83.86,82.92,91.03,90.71,85.42,85.78,A,25.9,No,Yes,Master's,Low,9
S1145,Mia,Williams,student145@univ.edu,Female,25,Business,87.9,77.41,74.02,87.64,49.52,91.66,93.59,77.4,B,5.7,No,No,High School,High,10
S1146,Mia,Sharma,student146@univ.edu,Male,22,Physics,93.03,47.09,58.43,87.18,49.65,87.26,91.61,64.01,C,17.7,Yes,No,High School,Low,4
S1147,Noah,Brown,student147@univ.edu,Female,24,Engineering,60.26,55.79,73.93,99.06,77.91,48.19,81.7,74.73,B,18.5,No,Yes,PhD,Medium,8
S1148,Omar,Johnson,student148@univ.edu,Female,21,Engineering,91.19,45.88,81.86,77.06,97.78,53.93,81.63,73.7,B,28.3,Yes,Yes,Master's,Medium,1
S1149,Ava,Williams,student149@univ.edu,Female,19,Business,64.1,91.55,77.83,53.39,58.06,79.57,53.37,71.95,B,19.6,No,No,High School,High,2
S1150,Mia,Johnson,student150@univ.edu,Female,19,Physics,73.84,74.15,42.52,93.58,98.41,97.82,87.48,70.42,B,8.3,Yes,No,PhD,Medium,10
S1151,Noah,Jones,student151@univ.edu,Male,19,CS,90.33,41.35,41.22,66.18,69.32,83.93,84.16,54.25,F,16.1,No,No,PhD,Medium,1
S1152,Lucas,Davis,student152@univ.edu,Male,25,Engineering,70.95,94.84,63.44,72.57,49.82,85.64,84.68,74.48,B,10.5,No,No,High School,High,3
S1153,Ava,Smith,student153@univ.edu,Male,20,Engineering,63.3,77.43,76.0,63.66,97.05,40.57,71.62,75.95,B,28.6,Yes,Yes,Master's,High,7
S1154,Sara,Sharma,student154@univ.edu,Male,21,Business,76.79,75.12,61.87,63.71,99.04,58.65,94.7,74.1,B,10.7,No,No,Master's,High,10
S1155,Ava,Johnson,student155@univ.edu,Male,24,Mathematics,68.52,41.71,75.84,68.43,91.86,63.12,98.41,71.18,B,9.6,Yes,No,Bachelor's,Medium,10
S1156,Ananya,Davis,student156@univ.edu,Male,20,Physics,94.74,82.71,82.4,92.24,85.66,73.84,56.56,80.4,B,5.8,Yes,No,None,Low,3
S1157,Mia,Brown,student157@univ.edu,Male,21,Business,96.83,73.92,83.81,74.08,47.04,38.76,84.28,76.27,B,15.8,Yes,No,Master's,Low,6
S1158,Maria,Davis,student158@univ.edu,Female,24,Business,68.02,67.04,43.53,79.1,56.14,85.83,65.52,59.3,C,16.4,No,No,None,Low,6
S1159,Ananya,Williams,student159@univ.edu,Male,20,Engineering,60.46,43.98,61.59,74.0,76.0,50.42,84.75,63.96,C,26.5,No,No,PhD,High,3
S1160,Emma,Sharma,student160@univ.edu,Male,23,Business,91.19,42.18,66.43,55.25,54.52,99.07,57.12,56.1,C,17.5,No,No,PhD,Medium,9
S1161,Mia,Smith,student161@univ.edu,Male,23,Engineering,84.73,78.64,70.78,50.49,59.59,66.24,54.39,66.12,C,13.8,No,Yes,None,High,7
S1162,Ananya,Davis,student162@univ.edu,Female,21,Physics,61.33,44.32,61.83,56.64,74.05,78.26,90.03,62.13,C,10.0,Yes,No,Bachelor's,High,10
S1163,Omar,Davis,student163@univ.edu,Male,24,CS,66.7,45.75,75.0,85.32,41.9,95.53,52.6,62.57,C,18.5,Yes,No,PhD,Medium,3
S1164,Noah,Sharma,student164@univ.edu,Male,21,Engineering,88.36,87.9,79.27,90.09,60.37,87.04,54.01,77.37,B,27.4,Yes,No,None,High,5
